Image_A,Image_B,SSIM,Path_A,Path_B,Folder_A,Folder_B,Folder_Path_A,Folder_Path_B,Same_Folder,Type
IMG_0943.JPG,IMG_0944.JPG,0.7578374353347872,/Users/vincent/workspace/sku/Unit0001/IMG_0943.JPG,/Users/vincent/workspace/sku/Unit0001/IMG_0944.JPG,Unit0001,Unit0001,/Users/vincent/workspace/sku/Unit0001,/Users/vincent/workspace/sku/Unit0001,True,同一文件夹内
IMG_0941.JPG,IMG_0940.JPG,0.750461165805925,/Users/vincent/workspace/sku/Unit0001/IMG_0941.JPG,/Users/vincent/workspace/sku/Unit0001/IMG_0940.JPG,Unit0001,Unit0001,/Users/vincent/workspace/sku/Unit0001,/Users/vincent/workspace/sku/Unit0001,True,同一文件夹内
IMG_0017.JPG,IMG_0016.JPG,0.7487130282518067,/Users/vincent/workspace/sku/Unit0002/IMG_0017.JPG,/Users/vincent/workspace/sku/Unit0002/IMG_0016.JPG,Unit0002,Unit0002,/Users/vincent/workspace/sku/Unit0002,/Users/vincent/workspace/sku/Unit0002,True,同一文件夹内
IMG_0945.JPG,IMG_0937.JPG,0.7462096872080066,/Users/vincent/workspace/sku/Unit0001/IMG_0945.JPG,/Users/vincent/workspace/sku/Unit0001/IMG_0937.JPG,Unit0001,Unit0001,/Users/vincent/workspace/sku/Unit0001,/Users/vincent/workspace/sku/Unit0001,True,同一文件夹内
IMG_0014.JPG,IMG_0009.JPG,0.7431552663161282,/Users/vincent/workspace/sku/Unit0002/IMG_0014.JPG,/Users/vincent/workspace/sku/Unit0002/IMG_0009.JPG,Unit0002,Unit0002,/Users/vincent/workspace/sku/Unit0002,/Users/vincent/workspace/sku/Unit0002,True,同一文件夹内
IMG_0944.JPG,IMG_0945.JPG,0.7405986784974103,/Users/vincent/workspace/sku/Unit0001/IMG_0944.JPG,/Users/vincent/workspace/sku/Unit0001/IMG_0945.JPG,Unit0001,Unit0001,/Users/vincent/workspace/sku/Unit0001,/Users/vincent/workspace/sku/Unit0001,True,同一文件夹内
IMG_0942.JPG,IMG_0944.JPG,0.7400921514012572,/Users/vincent/workspace/sku/Unit0001/IMG_0942.JPG,/Users/vincent/workspace/sku/Unit0001/IMG_0944.JPG,Unit0001,Unit0001,/Users/vincent/workspace/sku/Unit0001,/Users/vincent/workspace/sku/Unit0001,True,同一文件夹内
IMG_0941.JPG,IMG_0939.JPG,0.7344121429435672,/Users/vincent/workspace/sku/Unit0001/IMG_0941.JPG,/Users/vincent/workspace/sku/Unit0001/IMG_0939.JPG,Unit0001,Unit0001,/Users/vincent/workspace/sku/Unit0001,/Users/vincent/workspace/sku/Unit0001,True,同一文件夹内
IMG_0941.JPG,IMG_0938.JPG,0.731319874166877,/Users/vincent/workspace/sku/Unit0001/IMG_0941.JPG,/Users/vincent/workspace/sku/Unit0001/IMG_0938.JPG,Unit0001,Unit0001,/Users/vincent/workspace/sku/Unit0001,/Users/vincent/workspace/sku/Unit0001,True,同一文件夹内
IMG_0940.JPG,IMG_0944.JPG,0.7300287105779332,/Users/vincent/workspace/sku/Unit0001/IMG_0940.JPG,/Users/vincent/workspace/sku/Unit0001/IMG_0944.JPG,Unit0001,Unit0001,/Users/vincent/workspace/sku/Unit0001,/Users/vincent/workspace/sku/Unit0001,True,同一文件夹内
IMG_0015.JPG,IMG_0018.JPG,0.7288611469966434,/Users/vincent/workspace/sku/Unit0002/IMG_0015.JPG,/Users/vincent/workspace/sku/Unit0002/IMG_0018.JPG,Unit0002,Unit0002,/Users/vincent/workspace/sku/Unit0002,/Users/vincent/workspace/sku/Unit0002,True,同一文件夹内
IMG_0013.JPG,IMG_0011.JPG,0.7276445852634252,/Users/vincent/workspace/sku/Unit0002/IMG_0013.JPG,/Users/vincent/workspace/sku/Unit0002/IMG_0011.JPG,Unit0002,Unit0002,/Users/vincent/workspace/sku/Unit0002,/Users/vincent/workspace/sku/Unit0002,True,同一文件夹内
IMG_0941.JPG,IMG_0943.JPG,0.7270915872088121,/Users/vincent/workspace/sku/Unit0001/IMG_0941.JPG,/Users/vincent/workspace/sku/Unit0001/IMG_0943.JPG,Unit0001,Unit0001,/Users/vincent/workspace/sku/Unit0001,/Users/vincent/workspace/sku/Unit0001,True,同一文件夹内
IMG_0944.JPG,IMG_0938.JPG,0.7256941940518431,/Users/vincent/workspace/sku/Unit0001/IMG_0944.JPG,/Users/vincent/workspace/sku/Unit0001/IMG_0938.JPG,Unit0001,Unit0001,/Users/vincent/workspace/sku/Unit0001,/Users/vincent/workspace/sku/Unit0001,True,同一文件夹内
IMG_0941.JPG,IMG_0937.JPG,0.7232284492501361,/Users/vincent/workspace/sku/Unit0001/IMG_0941.JPG,/Users/vincent/workspace/sku/Unit0001/IMG_0937.JPG,Unit0001,Unit0001,/Users/vincent/workspace/sku/Unit0001,/Users/vincent/workspace/sku/Unit0001,True,同一文件夹内
IMG_0942.JPG,IMG_0938.JPG,0.7151625283358433,/Users/vincent/workspace/sku/Unit0001/IMG_0942.JPG,/Users/vincent/workspace/sku/Unit0001/IMG_0938.JPG,Unit0001,Unit0001,/Users/vincent/workspace/sku/Unit0001,/Users/vincent/workspace/sku/Unit0001,True,同一文件夹内
IMG_0944.JPG,IMG_0939.JPG,0.7146430735698317,/Users/vincent/workspace/sku/Unit0001/IMG_0944.JPG,/Users/vincent/workspace/sku/Unit0001/IMG_0939.JPG,Unit0001,Unit0001,/Users/vincent/workspace/sku/Unit0001,/Users/vincent/workspace/sku/Unit0001,True,同一文件夹内
IMG_0946.JPG,IMG_0009.JPG,0.7120603431282514,/Users/vincent/workspace/sku/Unit0001/IMG_0946.JPG,/Users/vincent/workspace/sku/Unit0002/IMG_0009.JPG,Unit0001,Unit0002,/Users/vincent/workspace/sku/Unit0001,/Users/vincent/workspace/sku/Unit0002,False,跨文件夹
IMG_0029.JPG,IMG_0020.JPG,0.7079144303666585,/Users/vincent/workspace/sku/Unit0003/IMG_0029.JPG,/Users/vincent/workspace/sku/Unit0003/IMG_0020.JPG,Unit0003,Unit0003,/Users/vincent/workspace/sku/Unit0003,/Users/vincent/workspace/sku/Unit0003,True,同一文件夹内
IMG_0946.JPG,IMG_0944.JPG,0.7003961193749308,/Users/vincent/workspace/sku/Unit0001/IMG_0946.JPG,/Users/vincent/workspace/sku/Unit0001/IMG_0944.JPG,Unit0001,Unit0001,/Users/vincent/workspace/sku/Unit0001,/Users/vincent/workspace/sku/Unit0001,True,同一文件夹内
IMG_0943.JPG,IMG_0945.JPG,0.6991337664463911,/Users/vincent/workspace/sku/Unit0001/IMG_0943.JPG,/Users/vincent/workspace/sku/Unit0001/IMG_0945.JPG,Unit0001,Unit0001,/Users/vincent/workspace/sku/Unit0001,/Users/vincent/workspace/sku/Unit0001,True,同一文件夹内
IMG_0017.JPG,IMG_0018.JPG,0.6979273482286171,/Users/vincent/workspace/sku/Unit0002/IMG_0017.JPG,/Users/vincent/workspace/sku/Unit0002/IMG_0018.JPG,Unit0002,Unit0002,/Users/vincent/workspace/sku/Unit0002,/Users/vincent/workspace/sku/Unit0002,True,同一文件夹内
IMG_0941.JPG,IMG_0944.JPG,0.6978568888939377,/Users/vincent/workspace/sku/Unit0001/IMG_0941.JPG,/Users/vincent/workspace/sku/Unit0001/IMG_0944.JPG,Unit0001,Unit0001,/Users/vincent/workspace/sku/Unit0001,/Users/vincent/workspace/sku/Unit0001,True,同一文件夹内
IMG_0942.JPG,IMG_0943.JPG,0.6901509593651295,/Users/vincent/workspace/sku/Unit0001/IMG_0942.JPG,/Users/vincent/workspace/sku/Unit0001/IMG_0943.JPG,Unit0001,Unit0001,/Users/vincent/workspace/sku/Unit0001,/Users/vincent/workspace/sku/Unit0001,True,同一文件夹内
IMG_0010.JPG,IMG_0018.JPG,0.6877552306156721,/Users/vincent/workspace/sku/Unit0002/IMG_0010.JPG,/Users/vincent/workspace/sku/Unit0002/IMG_0018.JPG,Unit0002,Unit0002,/Users/vincent/workspace/sku/Unit0002,/Users/vincent/workspace/sku/Unit0002,True,同一文件夹内
