Folder1_Image,Folder2_Image,SSIM,Folder1,Folder2
IMG_0939.JPG,IMG_0015.JPG,0.49120635777503735,Unit0001,Unit0002
IMG_0939.JPG,IMG_0012.JPG,0.48955417917471855,Unit0001,Unit0002
IMG_0939.JPG,IMG_0014.JPG,0.4887381972907029,Unit0001,Unit0002
IMG_0945.JPG,IMG_0013.JPG,0.4876694878249395,Unit0001,Unit0002
IMG_0941.JPG,IMG_0011.JPG,0.4875383293176037,Unit0001,Unit0002
IMG_0946.JPG,IMG_0017.JPG,0.4869258497930498,Unit0001,Unit0002
IMG_0944.JPG,IMG_0011.JPG,0.4841806298531634,Unit0001,Unit0002
IMG_0941.JPG,IMG_0015.JPG,0.4841778867734568,Unit0001,Unit0002
IMG_0940.JPG,IMG_0011.JPG,0.48279497912567165,Unit0001,Unit0002
IMG_0946.JPG,IMG_0016.JPG,0.4731152485169526,Unit0001,Unit0002
IMG_0943.JPG,IMG_0011.JPG,0.47027952467928713,Unit0001,Unit0002
IMG_0944.JPG,IMG_0017.JPG,0.4653712252535062,Unit0001,Unit0002
IMG_0941.JPG,IMG_0010.JPG,0.4648498389716563,Unit0001,Unit0002
IMG_0943.JPG,IMG_0018.JPG,0.45908217807242063,Unit0001,Unit0002
IMG_0940.JPG,IMG_0018.JPG,0.4555193430705812,Unit0001,Unit0002
IMG_0944.JPG,IMG_0016.JPG,0.45426979099623765,Unit0001,Unit0002
IMG_0937.JPG,IMG_0017.JPG,0.44997995674296176,Unit0001,Unit0002
IMG_0941.JPG,IMG_0012.JPG,0.44960151131519077,Unit0001,Unit0002
IMG_0945.JPG,IMG_0011.JPG,0.4493703210446578,Unit0001,Unit0002
IMG_0939.JPG,IMG_0018.JPG,0.4441453077069328,Unit0001,Unit0002
IMG_0940.JPG,IMG_0012.JPG,0.4396763705230672,Unit0001,Unit0002
IMG_0937.JPG,IMG_0016.JPG,0.43590837353967155,Unit0001,Unit0002
IMG_0944.JPG,IMG_0012.JPG,0.42350440357632857,Unit0001,Unit0002
IMG_0943.JPG,IMG_0012.JPG,0.4193482774404903,Unit0001,Unit0002
IMG_0941.JPG,IMG_0018.JPG,0.41615688583147065,Unit0001,Unit0002
IMG_0938.JPG,IMG_0017.JPG,0.39905087673238826,Unit0001,Unit0002
IMG_0945.JPG,IMG_0012.JPG,0.3885695885486715,Unit0001,Unit0002
IMG_0943.JPG,IMG_0017.JPG,0.38645027869344495,Unit0001,Unit0002
IMG_0938.JPG,IMG_0016.JPG,0.38575196562040875,Unit0001,Unit0002
IMG_0940.JPG,IMG_0017.JPG,0.3812708623213694,Unit0001,Unit0002
IMG_0940.JPG,IMG_0016.JPG,0.3796659795050028,Unit0001,Unit0002
IMG_0943.JPG,IMG_0016.JPG,0.37820415095625354,Unit0001,Unit0002
IMG_0939.JPG,IMG_0017.JPG,0.3630764852708239,Unit0001,Unit0002
IMG_0939.JPG,IMG_0016.JPG,0.35687094773188455,Unit0001,Unit0002
IMG_0941.JPG,IMG_0017.JPG,0.34982137882009334,Unit0001,Unit0002
IMG_0941.JPG,IMG_0016.JPG,0.3487242418789687,Unit0001,Unit0002
